,ASI,ASJ,AWA,ASG,AWB,ASE,ADF,AFD,AWC,ASK,ASH,ADL,BAG,URX,ALN,PLN,SDQ,AQR,PQR,ALM,AVM,PVM,PLM,FLP,DVA,PVD,ADE,PDE,PHA,PHB,PHC,IL2,CEP,URY,OLL,OLQ,IL1,AIN,AIM,RIH,URB,RIR,AIY,AIA,AUA,AIZ,RIS,PVQ,ADA,RIF,BDU,PVR,AVF,AVH,PVP,LUA,PVN,AVG,DVB,RIB,RIG,RMG,AIB,RIC,SAA,AVK,DVC,AVJ,PVT,AVD,AVL,PVW,RIA,RIM,AVE,RMF,RID,AVB,AVA,PVC,RIP,URA,RME,RMD,RIV,RMH,SAB,SMD,SMB,SIB,SIA,MNVC,MUBODY,MUHEAD,CEPsh,GLR,CAN,exc_cell,exc_gl,gonad,hmc,hyp,int,mu_anal,mu_int,mu_sph,CEM,MCM,EFn,MALE
BDU,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
PVR,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,2,15,,,,,,2,,,,,20,,,,,,,,,,,,,,,,,,4
AVF,,,,,,,,,,,,,,,,,,,18,,,,,,,1,,,2,,,,,,,8,,,,,,,,,,,,,,35,,,5,,12,,14,,,,,,,,,,,,,12,1,4,,10,,,,61,7,37,,,,,,,,,,,,32,19,,,,,,,,,,,,,,,65,27,270
AVH,,,,,4,,6,,,,2,3,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,1,,2,1,,,,,,,,3,,1,,,2,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,1,,16,,1,,,,,,,,,,,,,,,,,,,2
PVP,,,,,,,,,,,,1,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,3,,,,,,,2,,2,,,8,,,,5,,,,,4,,,18,11,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,
LUA,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,9,7,,,,,,,,,,,,,25,,4,,,,,,,39,5,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,32
PVN,,,,,,,,,,,,,,,,,,,2,,,,,,,6,,,,,2,,,,,,,,,,,,,,,,,,,,,,10,,4,,1,4,,,,,,,,,,,,6,11,,,,,,,4,15,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,83,149
AVG,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,5,,,7,,,,,,,,,,,1,,,4,,,,,,,5,,,,,,,,,,,,,,23,1,,,,,,,,,2,,,,,,,10,32
DVB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,7,42
RIB,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,2,,,,,3,1,,,,,,,4,,5,,,,,,,,,,,,,,7,,,,,,,,,,,,49,2,10,,,,,,,,,14,,,,4,,,,,,,,,,,,,,,,,,,6,,,
RIG,,,,,,,,,,,,,5,,4,7,,,,,,,,,,,1,,,,,,,1,,8,,4,,,,28,,,,,,,,,,,,,5,,,,,7,,,,,,42,8,,2,,,,3,10,17,3,,,17,,,,,,,51,,,,,,,,,,,,,,,,,,,,,11,,,
RMG,,,,,,,,,,,,,,,4,1,,,,2,,,,,,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,1,3,,,3,,,,,,,2,,,4,,,,,,94,1,1,,8,7,3,3,,,,,,,,,,,,,,,,,2,,
AIB,,,,4,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,4,,,,,4,,8,,,,,,,,,,,,,,4,,,2,,25,9,,,,,,,,81,9,7,,43,,,,,,,6,,,20,,6,,,,,2,,,,,,,,,,,,,,,
RIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,19,,12,,,,,,,,1,6,,6,,,115,,,,,,2,1,,72,10,,3,,,,,,,,,,,,,,,,,1,,
SAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,17,,,140,,,,,,,,4,36,,,,,1,48,,,,,,,,6,,,,,,,,
AVK,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,5,,14,2,,,,1,,,,15,11,,,,1,,,,,3,,,,7,,,4,9,5,,,,,,,,,4,,,,,,,,15
DVC,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,15,12,,9,,,30,,,,,3,,,,,,,,71,,,,,,,,,1,,,,3,2,,6,,,,,,,,,,,,2,,,12
AVJ,,,,,,,,,,,,,,,,,,,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,3,,,,,,,,,,,,,1,,,,,,,7,,5,,,,,,,4,,1,,,1,,,,,,,,1,,2,,,,,,2,2,8
PVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,,11,,2,5,3,,,,2,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
AVD,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,61,2,,,,,,,19,,,,,70,,,,,,,,,,,,,,,,,,1
AVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,2,,,,1,,,,,,,,,,11,,,,24,,,,,1,3,,,,,,,3,,,,,,,,,,3
PVW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,5,,,,,,,,2,4,,,,,,,,,,,,,,79,,5,,,2,,,,,,,,82,,,,,,,,,,,697,23,,,241,,,71,,,,,,,,,,,,,,,,,,,
